SDOM,TYPEQU,NOMRS,CAPACITE,type,idINS,lon,lat
C1,C108,ECOLE PRIMAIRE PRIVEE NATIVITE (LA,367,Ecole élémentaire,r200N2278200E3951000,5.433922726,43.51244512
C1,C108,ECOLE PRIMAIRE PRIVEE JEANNE D ARC,199,Ecole élémentaire,r200N2279800E3952800,5.45476245,43.52819649
C1,C108,ECOLE PRIMAIRE PRIVEE SAINT JOSEPH,204,Ecole élémentaire,r200N2280200E3952600,5.452577965,43.5307621
C1,C108,ECOLE PRIMAIRE PRIVEE C.I.P.E.C,162,Ecole élémentaire,r200N2274200E3949800,5.421481557,43.47590436
C1,C108,ECOLE PRIMAIRE PRIVEE JUIVE D'AIX EN PROVENCE (EJAP,51,Ecole élémentaire,r200N2279600E3951800,5.443138359,43.52477034
C1,C108,ECOLE PRIMAIRE PUBLIQUE PLATANES (DES,132,Ecole élémentaire,r200N2280200E3952200,5.447012975,43.53073158
C1,C108,ECOLE PRIMAIRE PRIVEE SAINTE BERNADETTE,226,Ecole élémentaire,r200N2277400E3947200,5.3886474,43.50301533
C1,C108,ECOLE PRIMAIRE PUBLIQUE SIMONE VEIL,250,Ecole élémentaire,r200N2276800E3944200,5.352352033,43.49647999
C1,C108,ECOLE PRIMAIRE PRIVEE INTER. DE MEDITERRANNE (EPIM,351,Ecole élémentaire,r200N2274600E3949000,5.411093442,43.47788474
C1,C108,ECOLE PRIMAIRE PRIVEE SACRE-COEUR,284,Ecole élémentaire,r200N2279200E3954000,5.469639059,43.52313825
C1,C108,ECOLE PRIMAIRE PRIVEE SAINTE CATHERINE DE SIENNE,214,Ecole élémentaire,r200N2280200E3952600,5.451262481,43.53047587
C1,C108,ECOLE PRIMAIRE PRIVEE NOUVELLE ALLIANCE (LA,16,Ecole élémentaire,r200N2280000E3950800,5.43128873,43.52763078
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE CHATEAU DOUBLE,184,Ecole élémentaire,r200N2280200E3950200,5.422254599,43.53038701
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE MARESCHALE (LA,139,Ecole élémentaire,r200N2279800E3951000,5.433188191,43.52564163
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE JOSEPH ROUMANILLE,112,Ecole élémentaire,r200N2277400E3947600,5.391716827,43.50290249
C1,C109,ECOLE PRIMAIRE PRIVEE PEREL,10,Ecole élémentaire,r200N2275000E3946000,5.374437831,43.48051204
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE JOSEPH D'ARBAUD,170,Ecole élémentaire,r200N2280200E3949400,5.413564673,43.52968054
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE FLORALIES (LES,122,Ecole élémentaire,r200N2278600E3951200,5.435531943,43.51592601
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE COUTHERON FONTROUSSE,122,Ecole élémentaire,r200N2287800E3952600,5.4466158,43.59951635
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE,150,Ecole élémentaire,r200N2279000E3952800,5.454462178,43.52036819
C1,C109,ECOLE ELEMENTAIRE APPLICATION ALBERIC LAURENT (APPL,142,Ecole élémentaire,r200N2280400E3952000,5.44494572,43.53273637
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE JACQUES PREVERT,159,Ecole élémentaire,r200N2279800E3951000,5.432992515,43.52592272
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE JEAN MAUREL,176,Ecole élémentaire,r200N2286200E3950400,5.421619717,43.58396162
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE TORSE (LA,99,Ecole élémentaire,r200N2279400E3953800,5.467030831,43.52464649
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE PONT DE L'ARC (DU,123,Ecole élémentaire,r200N2278200E3950000,5.421420472,43.51060262
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES 2,125,Ecole élémentaire,r200N2280600E3952000,5.444655788,43.53348517
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE CELONY,189,Ecole élémentaire,r200N2283200E3950200,5.420088681,43.55699701
C1,C109,ECOLE ELEMENTAIRE D'APPLICATION F.MISTRAL(APPL,205,Ecole élémentaire,r200N2280600E3951000,5.432629056,43.53434077
C1,C109,ECOLE ELEMENTAIRE D'APPLICATION A.DAUDET (APPL,107,Ecole élémentaire,r200N2280600E3953400,5.46279599,43.53581303
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE GRANETTES (LES,130,Ecole élémentaire,r200N2281200E3948000,5.394053445,43.5373988
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE VAL SAINT ANDRE,180,Ecole élémentaire,r200N2278800E3953600,5.466849503,43.51964387
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE MARIE MAURON,109,Ecole élémentaire,r200N2279600E3952400,5.450752371,43.52619322
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE GIONO-SCHWEITZER,192,Ecole élémentaire,r200N2279200E3950800,5.431425968,43.52148602
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE JULES PAYOT,149,Ecole élémentaire,r200N2279600E3949400,5.413525335,43.5232538
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE FENOUILLERES,118,Ecole élémentaire,r200N2278400E3951800,5.443793763,43.5139543
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE HENRI WALLON,170,Ecole élémentaire,r200N2280000E3949800,5.418395079,43.52687255
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL,130,Ecole élémentaire,r200N2278200E3952800,5.457405934,43.51339381
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY,128,Ecole élémentaire,r200N2279200E3952400,5.449602195,43.52182962
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE JULES ISAAC,162,Ecole élémentaire,r200N2281400E3952800,5.453640997,43.54168624
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE DEUX ORMEAUX (LES,170,Ecole élémentaire,r200N2280400E3949600,5.414838488,43.53055233
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE PAUL ARENE,138,Ecole élémentaire,r200N2279400E3950600,5.429366354,43.52302685
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE LAUVES,121,Ecole élémentaire,r200N2281400E3952200,5.447185494,43.54085759
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE AUGUSTE BOYER,139,Ecole élémentaire,r200N2277800E3947600,5.391582191,43.50676543
C1,C109,ECOLE ELEM.SPECIALISEE PRIVEE DE L'APAR - ST JOSEPH (OSEC,4,Ecole élémentaire,r200N2280200E3952600,5.452577965,43.5307621
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE SALLIER,172,Ecole élémentaire,r200N2279400E3952600,5.452195539,43.52444222
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE EDOUARD PEISSON,236,Ecole élémentaire,r200N2275000E3949600,5.419646061,43.481947
C1,C109,ECOLE ELEMENTAIRE D'APPLICATION SEXTIUS (APPL,120,Ecole élémentaire,r200N2280000E3951800,5.443476459,43.52894347
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE EUGENE BREMOND,196,Ecole élémentaire,r200N2285600E3950600,5.423233473,43.57845075
C2,C201,COLLEGE PRIVEE LA NOUVELLE ALLIANCE,3,Collège,r200N2280200E3951000,5.433340584,43.52923879
C2,C201,COLLEGE ROCHER DU DRAGON,609,Collège,r200N2280400E3951800,5.442145403,43.53264156
C2,C201,COLLEGE JAS DE BOUFFAN,522,Collège,r200N2279600E3950200,5.423225012,43.52406435
C2,C201,COLLEGE ARC DE MEYRAN,792,Collège,r200N2278600E3953200,5.461266935,43.51690685
C2,C201,COLLEGE NINA SIMONE,572,Collège,r200N2281200E3952600,5.451905123,43.53919692
C2,C201,COLLEGE PRIVE SACRE COEUR (LE,1009,Collège,r200N2280200E3953000,5.457157466,43.53175388
C2,C201,COLLEGE PRIVE ST JOSEPH,247,Collège,r200N2280200E3952600,5.452577965,43.5307621
C2,C201,COLLEGE PRIVE CHESNERAIE (DE LA,449,Collège,r200N2274400E3948800,5.410064469,43.47575106
C2,C201,COLLEGE CHATEAU DOUBLE,555,Collège,r200N2280400E3950000,5.41959503,43.53157325
C2,C201,COLLEGE MIGNET,784,Collège,r200N2279600E3952200,5.447909068,43.5249927
C2,C201,COLLEGE PRIVE NATIVITE (LA,717,Collège,r200N2278200E3951000,5.433922726,43.51244512
C2,C201,COLLEGE PRIVE STE CATHERINE DE SIENNE,247,Collège,r200N2280200E3952600,5.451262481,43.53047587
C2,C201,COLLEGE CAMPRA,429,Collège,r200N2280400E3952400,5.449488359,43.532121
C2,C201,COLLEGE SOPHIE GERMAIN,645,Collège,r200N2275000E3949000,5.411043677,43.48134558
C2,C201,ECOLE SECONDAIRE PRIVEE ES EN CIEL,48,Collège,r200N2284200E3949000,5.404746503,43.56449812
C2,C201,COLLEGE PRIVE LA NATIVITE STE VICTOIRE,372,Collège,r200N2275600E3943800,5.347613717,43.48410723
C2,C201,CLG PR SAINT DOMINIQUE SAVIO CLG PR SAINT DOMINIQUE SAVIO,,Collège,r200N2277400E3947200,5.388150258,43.50246695
C2,C201,ECOLE PRHC VAL SAINT ANDRE CLG PR HC VAL SAINT ANDRE,89,Collège,r200N2278600E3953800,5.467197149,43.51645708
C3,C301,LYCEE POLYVALENT EMILE ZOLA,2051,Lycée,r200N2278000E3951800,5.444934734,43.51097523
C3,C301,LYCEE DES METIERS PRIVE CELONY,574,Lycée,r200N2280600E3951400,5.436518602,43.53452309
C3,C301,LYCEE GENERAL ET TECHNOLOGIQUE PAUL CEZANNE,1963,Lycée,r200N2280600E3953200,5.459194927,43.53405956
C3,C301,LYCEE POLYVALENT PRIVE LYCEE DES METIERS ST ELOI,613,Lycée,r200N2280600E3952400,5.450772213,43.53393553
