idINS,osm_id,name,brand,shop,lon,lat
r200N2293400E3924000,363985033,Intermarché,Intermarché,supermarket,5.0909959,43.63366519
r200N2271000E3960400,441172452,Intermarché,Intermarché,supermarket,5.5559289,43.45160199
r200N2268800E3953600,475367941,Intermarché,Intermarché,supermarket,5.4725884,43.42851709
r200N2258400E3951400,614653712,Intermarché,Intermarché,supermarket,5.4525689,43.33398399
r200N2258200E3949800,1594619874,Intermarché,Intermarché,supermarket,5.4335224,43.33210669
r200N2256200E3947200,1594619889,Intermarché Super,Intermarché Super,supermarket,5.4027174,43.31127509
r200N2248800E3958400,1796075370,Intermarché,Intermarché,supermarket,5.5464976,43.25075309
r200N2281000E3936800,1813195461,Intermarché Super,Intermarché,supermarket,5.2577514,43.52868479
r200N2264000E3963400,2348408672,Intermarché,Intermarché,supermarket,5.5965804,43.39017179
r200N2280200E3951600,2380302913,Intermarché Super,Intermarché Super,supermarket,5.4391847,43.52963139
r200N2250800E3944600,4961327778,Intermarché,Intermarché,supermarket,5.3753576,43.26135089
r200N2253000E3949600,5182359122,Intermarché Super,Intermarché Super,supermarket,5.4348209,43.28450559
r200N2253400E3945200,5469691559,Intermarché,Intermarché,supermarket,5.3796855,43.28589769
r200N2255200E3955200,6434134358,Intermarché,Intermarché,supermarket,5.5017042,43.30672799
r200N2285800E3954800,7623628012,Intermarché,Intermarché,supermarket,5.4747099,43.58160469
r200N2250800E3947600,10772674950,Intermarché Express,Intermarché,supermarket,5.4106051,43.26400589
r200N2259200E3926800,71857302,Franprix,Franprix,supermarket,5.149296793,43.3279971
r200N2252600E3946200,2822223146,Franprix,Franprix,supermarket,5.3925692,43.27813009
r200N2252600E3947400,5527293105,Franprix,Franprix,supermarket,5.4067232,43.27859859
r200N2258400E3948800,7653826647,Franprix,Franprix,supermarket,5.4203822,43.33310829
r200N2300800E3983400,91132320,Auchan,Auchan,supermarket,5.818145065,43.73216366
r200N2253400E3962600,92571214,Auchan Drive,Auchan Drive,supermarket,5.59440632,43.29570079
r200N2279000E3914000,98765281,Auchan,Auchan,supermarket,4.97705984,43.49710315
r200N2270400E3919400,99098263,Auchan,Auchan,supermarket,5.050836969,43.42340168
r200N2268200E3899200,109133848,Auchan,Auchan,supermarket,4.803029363,43.39231854
r200N2270200E3971000,129055952,Auchan,Auchan,supermarket,5.685551289,43.45015087
r200N2252600E3948400,154606127,Auchan Drive,Auchan Drive,supermarket,5.421411328,43.27927982
r200N2253200E3962400,176223541,Auchan,Auchan,supermarket,5.591959717,43.29388725
r200N2280600E3950000,1820996291,Auchan,Auchan,supermarket,5.41969,43.53373429
r200N2252800E3945600,3459515586,Auchan,Auchan,supermarket,5.3846752,43.27988369
r200N2253400E3960600,3629676118,Auchan,Auchan,supermarket,5.5703081,43.29467689
r200N2305400E3924400,4141475746,Auchan Supermarché,Auchan,supermarket,5.0863999,43.74177169
r200N2254000E3953200,4318179186,Auchan Supermarché,Auchan Supermarché,supermarket,5.4772624,43.29508619
r200N2256000E3944800,5470869805,Auchan,Auchan,supermarket,5.372407,43.30912079
r200N2256000E3945200,6425854894,Auchan,Auchan,supermarket,5.3789245,43.30910219
